Transaction ID,Customer ID,Category,Sub Category,Product Name
1000,C100,Fruits and Vegetables,Fresh Fruits,citrus fruit
1000,C100,"Bakery,Cakes and Dairy",Bakery Products,semi-finished bread
1000,C100,"Bakery,Cakes and Dairy",Dairy Products,margarine
1000,C100,Snacks and Branded Foods,Ready to cook and eat,ready soups
1001,C101,Fruits and Vegetables,Fresh Fruits,tropical fruit
1001,C101,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1001,C101,Beverages,Coffee,coffee
1002,C102,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1003,C103,Fruits and Vegetables,Fresh Fruits,pip fruit
1003,C103,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1003,C103,"Bakery,Cakes and Dairy",Dairy Products,cream cheese
1003,C103,"Egg, Meat and Fish",Meat Products,meat spreads
1004,C104,Fruits and Vegetables,Fresh Vegetables,other vegetables
1004,C104,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1004,C104,"Bakery,Cakes and Dairy",Dairy Products,condensed milk
1004,C104,"Bakery,Cakes and Dairy",Bakery Products,long life bakery product
1005,C105,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1005,C105,"Bakery,Cakes and Dairy",Dairy Products,butter
1005,C105,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1005,C105,"Food Grains, Oil and Masala",Rice and Rice Products,rice
1005,C105,Cleaning and Household,All purpose cleaner,abrasive cleaner
1006,C106,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1007,C107,Fruits and Vegetables,Fresh Vegetables,other vegetables
1007,C107,"Bakery,Cakes and Dairy",Dairy Products,UHT-milk
1007,C107,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1008,C108,"Kitchen, Garden and Pets",Gardening,potted plants
1009,C109,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1009,C109,"Food Grains, Oil and Masala",Dal & Pulses,cereals
1010,C110,Fruits and Vegetables,Fresh Fruits,tropical fruit
1010,C110,Fruits and Vegetables,Fresh Vegetables,other vegetables
1010,C110,"Bakery,Cakes and Dairy",Bakery Products,white bread
1010,C110,Beverages,Water,bottled water
1010,C110,Snacks and Branded Foods,Chocolates and Candies,chocolate
1011,C111,Fruits and Vegetables,Fresh Fruits,citrus fruit
1011,C111,Fruits and Vegetables,Fresh Fruits,tropical fruit
1011,C111,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1011,C111,"Bakery,Cakes and Dairy",Dairy Products,butter
1011,C111,"Bakery,Cakes and Dairy",Dairy Products,curd
1011,C111,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1011,C111,"Food Grains, Oil and Masala","Atta, Flour and Sooji",flour
1011,C111,Beverages,Water,bottled water
1012,C112,"Egg, Meat and Fish",Meat Products,beef
1013,C113,"Egg, Meat and Fish",Meat Products,frankfurter
1013,C113,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1013,C113,Beverages,Energy and Soft Drinks,soda
1014,C114,"Egg, Meat and Fish",Meat Products,chicken
1014,C114,Fruits and Vegetables,Fresh Fruits,tropical fruit
1015,C115,"Bakery,Cakes and Dairy",Dairy Products,butter
1015,C115,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
